1509872|2012-04-18|corriere.it|testate in edicola|fucking paese vuole cambiare nome|0|1=0.0059681100571,2=0.083584283252,3=-0,4=0.0183700268359,5=0.0148824761044,6=-0,7=0.100383176759,8=-0,9=0.230759588496,10=0.0556850548871,11=0.0285727714694,12=0.0478879627502,13=0.0969199614174,14=0.000539109275743,15=0.116964839003,16=0.00729083156086,17=0.0873680118984,18=-0,19=0.060003695062,20=0.0448201011721
1585430|2012-05-12|newnotizie.it|portali web|ucciso computer difettoso|1|1=0.0714674734069,2=-0,3=-0,4=0.00170027432584,5=-0,6=0.376963513988,7=-0,8=-0,9=-0,10=-0,11=0.0919926974789,12=-0,13=-0,14=0.158927160386,15=-0,16=-0,17=0.298948880414,18=-0,19=-0,20=-0
1619628|2012-05-23|adnkronos.com|agenzie|egitto solo donne velo integrale polemiche tv femminile salafita|2|1=0.00470919489075,2=0.0394253113475,3=0.00291240619496,4=0.0508329557824,5=0.0245691741991,6=0.0374475924598,7=0.0639278713993,8=0.144919972951,9=0.0737593547644,10=0.0321622254236,11=0.0149504169173,12=0.0818236815143,13=0.0806572599578,14=0.00887778625563,15=0.0197648798606,16=0.0280547538268,17=0.174937608185,18=0.0408554053003,19=0.00621368122111,20=0.0691984675484
1509871|2012-04-18|corriere.it|testate in edicola|aste tv ricorso mediaset|3|1=0.00201794141677,2=0.01931608099,3=0.00913566812015,4=0.044546302094,5=0.039777097073,6=0.00108774124396,7=0.168729249523,8=0.447181389601,9=-0,10=-0,11=1.35191116531e-05,12=-0,13=0.027988714901,14=0.028275296649,15=-0,16=0.00551347255717,17=0.0928163713151,18=0.0355366026535,19=-0,20=0.0780645527499
1606616|2012-05-19|repubblica.it|testate in edicola|annullata notte musei proteste rete ferma cultura sport|4|1=0.0588130695847,2=0.0600305478688,3=-0,4=0.106129572224,5=0.024858022647,6=0.059431344571,7=-0,8=0.0692160030619,9=0.0125295284332,10=-0,11=0.0800179626937,12=0.0441288689779,13=0.050980825086,14=0.0762290412979,15=-0,16=0.0269576744661,17=0.159026594531,18=0.0971086561941,19=0.017607097877,20=0.0569351904859
1586551|2012-05-13|lagazzettadelmezzogiorno.it|testate in edicola|schaeuble disponibile guida eurogruppo|5|1=0.0129312272535,2=0.0563261762698,3=-0,4=0.086952241489,5=0.00165059141181,6=0.0707440975929,7=0.00930833382733,8=0.0131443743429,9=0.0482296651742,10=0.0304355301514,11=0.013201291371,12=0.0204130341505,13=0.0218805530558,14=0.0453116654824,15=0.0591195353693,16=0.0898547183147,17=0.049939653216,18=0.0470372548394,19=0.241184814556,20=0.0823352421325
1581212|2012-05-11|libero.it|portali web|search attacco microsoft google bing nuove ricerche social neutrali concorrente intanto yahoo scompare|6|1=0.00745965714886,2=0.0412003854751,3=0.000780294575214,4=0.0926129654127,5=-0,6=0.0353230924127,7=0.0180443406965,8=0.00156228173282,9=0.0521820358566,10=0.0372650475299,11=0.00356599199435,12=0.0328928055749,13=0.0276968609544,14=0.0105841792825,15=0.014895710272,16=0.0211115498807,17=0.37541766615,18=0.0649664180342,19=0.0184299854484,20=0.144008731568
1607876|2012-05-20|tuttosport.com|testate in edicola|champions chelsea monaco bayern ko rigori|7|1=0.0130766202005,2=0.0405179341864,3=-0,4=-0,5=0.101012240791,6=0.00358402792417,7=-0,8=-0,9=-0,10=-0,11=0.260166707002,12=-0,13=0.515773421474,14=0.0320426873379,15=-0,16=0.0181456365137,17=0.000365557384371,18=-0,19=-0,20=0.0153151671851
2005837|2012-10-05|adnkronos.com|agenzie|comuni italiani chiedono quadro normativo stabile migliorare raccolta raee|8|1=0.0050978062226,2=0.0325356817836,3=0.0217412582802,4=0.0666184932479,5=0.00222493976232,6=0.0190608208003,7=0.0375673953093,8=0.0973166930468,9=0.04161569666,10=0.030274705537,11=0.0340176922487,12=0.0604855036007,13=-0,14=0.0113310239859,15=0.0253390956296,16=0.207530990263,17=0.0766676934551,18=0.0565632989263,19=0.152863329531,20=0.0211478817094
1581232|2012-05-11|libero.it|portali web|pompei spreca progetto sindaco bella idea difficile realizzare|9|1=0.0337878304693,2=0.0528756483297,3=-0,4=0.100303264283,5=0.0111311895522,6=0.0409996173638,7=-0,8=-0,9=0.179497333348,10=0.0444329752967,11=0.105140464623,12=0.0281325876827,13=0.0637306270408,14=0.0565435116529,15=0.00680097446517,16=0.0443116679905,17=0.00837844039609,18=0.0552485291715,19=0.022831313964,20=0.145854024372
